Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
84.6,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,1592.2
79.5,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,1592.2
67.7,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,1592.2
80.3,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 4: Academic support,1586.2
54,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,1592.2
81.4,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,1587.2
65,21 to 25,UK,All modes,All undergraduates,Medicine and dentistry,Theme 7: Student voice,1588.2
81.1,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,6760.6
78,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,6760.6
74.9,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,6760.6
73.9,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,6756.6
55,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,6759.6
85.1,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,6733.6
66.5,21 to 25,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,6719.9
88.3,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,1317.2
82.5,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,1317.2
82,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,1317.2
85.3,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 4: Academic support,1315.2
78.4,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,1316.2
86.3,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,1309.8
75.4,21 to 25,UK,All modes,All undergraduates,Biological and sport sciences,Theme 7: Student voice,1305.5
85.3,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 1: Teaching on my course,1673.1
81,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 2: Learning opportunities,1673.1
80.1,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 3: Assessment and feedback,1674.1
80.6,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 4: Academic support,1672.1
77.2,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 5: Organisation and management,1670.6
87.6,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 6: Learning resources,1661.4
69.8,21 to 25,UK,All modes,All undergraduates,Psychology,Theme 7: Student voice,1655.6
88.9,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,382.9
81.8,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,382.9
71.9,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,382.9
84.2,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 4: Academic support,382.9
57,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,382.9
78.5,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 6: Learning resources,382.9
66.3,21 to 25,UK,All modes,All undergraduates,Veterinary sciences,Theme 7: Student voice,379.9
85.6,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,313.3
80.1,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,313.3
80.7,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,313.3
84.5,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,312.3
69.3,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,313.3
81.5,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,312.3
70.8,21 to 25,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,313.3
86.7,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 1: Teaching on my course,373
81.7,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 2: Learning opportunities,373
82,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 3: Assessment and feedback,373
86,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 4: Academic support,372.6
77.2,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 5: Organisation and management,373
86.6,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 6: Learning resources,372.3
71.2,21 to 25,UK,All modes,All undergraduates,Physical sciences,Theme 7: Student voice,366.6
86.4,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 1: Teaching on my course,277.4
81.7,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 2: Learning opportunities,277.4
85,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 3: Assessment and feedback,277.4
90,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 4: Academic support,277.4
85.4,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 5: Organisation and management,277.4
90.4,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 6: Learning resources,274.7
77.5,21 to 25,UK,All modes,All undergraduates,Mathematical sciences,Theme 7: Student voice,272.2
81.9,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 1: Teaching on my course,1966.6
78.7,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 2: Learning opportunities,1966.6
77,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 3: Assessment and feedback,1966.6
83.8,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 4: Academic support,1964.3
72.2,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 5: Organisation and management,1966.6
84.2,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 6: Learning resources,1961.1
70.4,21 to 25,UK,All modes,All undergraduates,Engineering and technology,Theme 7: Student voice,1952.4
81.5,21 to 25,UK,All modes,All undergraduates,Computing,Theme 1: Teaching on my course,2186.3
77,21 to 25,UK,All modes,All undergraduates,Computing,Theme 2: Learning opportunities,2187.3
79.5,21 to 25,UK,All modes,All undergraduates,Computing,Theme 3: Assessment and feedback,2185.3
83.3,21 to 25,UK,All modes,All undergraduates,Computing,Theme 4: Academic support,2176
