Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
82.5,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,1359.4
77.4,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,1359.4
62.7,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,1359.4
76.4,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 4: Academic support,1357.4
47.4,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,1359.4
78.8,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,1350.4
58.4,Disability reported,UK,All modes,All undergraduates,Medicine and dentistry,Theme 7: Student voice,1352.4
81.3,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,9638.8
77.4,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,9635.8
72.2,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,9637.8
72.6,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,9630.8
55.5,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,9633.8
83.1,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,9589.7
64.7,Disability reported,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,9574.1
86.8,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,3363
82.3,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,3363
76.7,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,3363
84.5,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 4: Academic support,3362
77,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,3361
84.4,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,3347.8
72.7,Disability reported,UK,All modes,All undergraduates,Biological and sport sciences,Theme 7: Student voice,3339.8
84.1,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 1: Teaching on my course,4451.4
78.9,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 2: Learning opportunities,4452.4
74.6,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 3: Assessment and feedback,4449.4
79,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 4: Academic support,4442.9
74.9,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 5: Organisation and management,4448.4
85.6,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 6: Learning resources,4427
68,Disability reported,UK,All modes,All undergraduates,Psychology,Theme 7: Student voice,4429.5
90.3,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,338.2
84.8,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,338.2
75,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 3: Assessment and feedback,338.2
84.5,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 4: Academic support,338.2
62.3,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 5: Organisation and management,338.2
82.9,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 6: Learning resources,338.2
68.9,Disability reported,UK,All modes,All undergraduates,Veterinary sciences,Theme 7: Student voice,338.2
85.9,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 1: Teaching on my course,701.4
81,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 2: Learning opportunities,701.4
77.7,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 3: Assessment and feedback,701.4
83.5,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 4: Academic support,701.4
66.3,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 5: Organisation and management,700.4
81.9,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 6: Learning resources,698.4
68.1,Disability reported,UK,All modes,All undergraduates,"Agriculture, food and related studies",Theme 7: Student voice,700.4
86.7,Disability reported,UK,All modes,All undergraduates,Physical sciences,Theme 1: Teaching on my course,1685.8
