Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
83.5,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,280.3
78.2,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,280.3
63.8,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,280.3
77.3,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 4: Academic support,280.3
53.9,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,280.3
81.3,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,279.3
64,European Union,UK,All modes,All undergraduates,Medicine and dentistry,Theme 7: Student voice,280.3
82.7,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,1282.5
80.3,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,1282.5
71.7,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,1282.5
81.1,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,1282.5
66.4,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,1282.5
87,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,1281.5
73,European Union,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,1269.5
85.1,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,913.5
82.7,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,913.5
74.1,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,912.5
88.1,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 4: Academic support,912.5
80.1,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,912.5
89.7,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,911.5
78.3,European Union,UK,All modes,All undergraduates,Biological and sport sciences,Theme 7: Student voice,907.2
84.1,European Union,UK,All modes,All undergraduates,Psychology,Theme 1: Teaching on my course,1002.2
79.6,European Union,UK,All modes,All undergraduates,Psychology,Theme 2: Learning opportunities,1002.2
75.1,European Union,UK,All modes,All undergraduates,Psychology,Theme 3: Assessment and feedback,1002.2
86.3,European Union,UK,All modes,All undergraduates,Psychology,Theme 4: Academic support,1001.2
78,European Union,UK,All modes,All undergraduates,Psychology,Theme 5: Organisation and management,1002.2
89.8,European Union,UK,All modes,All undergraduates,Psychology,Theme 6: Learning resources,999.5
77.2,European Union,UK,All modes,All undergraduates,Psychology,Theme 7: Student voice,1001.6
95.6,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 1: Teaching on my course,39.5
93.2,European Union,UK,All modes,All undergraduates,Veterinary sciences,Theme 2: Learning opportunities,39.5
