Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
84.3,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,1825.1
79.1,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,1825.1
67.8,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,1825.1
80.5,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 4: Academic support,1823.1
58.9,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,1826.1
84.3,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,1821.1
66.9,Asian,UK,All modes,All undergraduates,Medicine and dentistry,Theme 7: Student voice,1818.6
82.2,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,6241.2
80.9,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,6241.2
73.6,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,6240.2
78,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,6239.2
68.2,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,6238.2
85.4,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,6211.6
71.2,Asian,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,6208.2
84.9,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,1167.9
82.2,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,1167.9
75.1,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,1167.9
84.6,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 4: Academic support,1167.5
79.4,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,1167.9
85.3,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,1159
75.9,Asian,UK,All modes,All undergraduates,Biological and sport sciences,Theme 7: Student voice,1160
