Positvity measure (%),Split,Provider country,Mode of study,Level of study,Subject,Question Number,Responses
86.8,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 1: Teaching on my course,4951.3
81.4,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 2: Learning opportunities,4951.3
67.8,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 3: Assessment and feedback,4951.3
80.1,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 4: Academic support,4941.3
54.8,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 5: Organisation and management,4951.3
84.9,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 6: Learning resources,4924.3
65.8,Female,UK,All modes,All undergraduates,Medicine and dentistry,Theme 7: Student voice,4926.8
83.8,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 1: Teaching on my course,40262.5
80.9,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 2: Learning opportunities,40260.5
76.1,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 3: Assessment and feedback,40262.5
76,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 4: Academic support,40236.2
61.4,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 5: Organisation and management,40245.1
86.5,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 6: Learning resources,40116.8
68.9,Female,UK,All modes,All undergraduates,Subjects allied to medicine,Theme 7: Student voice,40043
87.8,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 1: Teaching on my course,9184.3
83.6,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 2: Learning opportunities,9182.3
77.3,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 3: Assessment and feedback,9182.3
86,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 4: Academic support,9177
79.9,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 5: Organisation and management,9181.9
87.7,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 6: Learning resources,9144.1
74.7,Female,UK,All modes,All undergraduates,Biological and sport sciences,Theme 7: Student voice,9134.9
84.7,Female,UK,All modes,All undergraduates,Psychology,Theme 1: Teaching on my course,14882.9
80.2,Female,UK,All modes,All undergraduates,Psychology,Theme 2: Learning opportunities,14884.9
75.8,Female,UK,All modes,All undergraduates,Psychology,Theme 3: Assessment and feedback,14879.4
80.9,Female,UK,All modes,All undergraduates,Psychology,Theme 4: Academic support,14866.8
